Name,Email,Wallet address,Onboarded,Deposit (USDC),Deposit tx,Rate your product (1-5),Product feedback
GAM6KH…46JD6D,,GAM6KHUZMJRK3SQIOGAGRHKUT6O6YH4C4GB47CYYD6OOMZMRP646JD6D,2026-08-31,2.000,e6f7e2aaf4a5b5dc7d4e7202ab99aba1c962631fd76ef22fee3d779b582ecd10,,
GBNQJI…4CNI5F,,GBNQJIW33E4ITQS7W3BLQM5ZZUEXPCS2Z7UPMJ3LQLII6I24NE4CNI5F,2026-08-31,2.000,63f3f44216440983e408929d520c09947fabcc5004e3ab1b897f5ca0c5271133,,
GAB5XG…Y23SDN,,GAB5XGXGTTV3CIWRVTNRKQGYYTYRPUEINFWVQEAQC7UO3KCAGRY23SDN,2026-08-31,2.000,60abb836e9dfede99ef837f4013f299a70a6b985dcbe89f3ef8f88343c2de18d,,
GBD6QT…P7EH2D,,GBD6QTZSXACN6PKTJOJHCR7M2DNCXWUJZRWNCIT5SI4D4PB7PUP7EH2D,2026-08-31,2.000,49bc75985de2255051cbc79117d606b306bd240f02e43ce3e5a2ba87ff7e4524,,
GAHOKP…GBDHM5,,GAHOKPNDUTZVJB3UD2GKMS7V5U743GJTH6JYMFM3EOOBNEJ7AVGBDHM5,2026-08-31,2.000,9c593646d1f1e48648704c1e8c917a3bdc03349ce66340cfae883772fc888361,,
GD7QLH…JLUBYF,,GD7QLHGPKYPSKICQPYMS3UUQDEHIV5KTPBY5UGHYUACVA3DBJRJLUBYF,2026-08-31,2.000,aeb6623d91d82a423f357a322b30b6e9bd49da88da1f3c958779b2dd2809556f,,
GDPNIF…EOAJBZ,,GDPNIFKEPFERZQVGN5PN5IBHWJMTWVMWS7DVUECMJN7XU5GCAPEOAJBZ,2026-08-31,2.000,57b219625709cd090cac293c137f243771e67de2c37450f428bbf029a821d2d4,,
GAR5OY…2OAEXV,,GAR5OY5XMLBVIQIKOFKIHAIL2YQHOKS5QQ32GGTLWJAPNOOFW62OAEXV,2026-08-31,2.000,8419a2059eb48f04cadccb40a556fa1ba559634884108d8e1f11aa157f2a363e,,
GD6VQN…NCETBX,,GD6VQNPJPVTI4JDXP3F2AY6TNFPJNYMVEMQORVWSRWJSQ2IY7ONCETBX,2026-08-31,2.000,2493f7d9f7129bca1d2afbbcca279508c61436aa47129e5291645333bee8052c,,
GAOIO5…SWDI2Y,,GAOIO5SFSFXLPNBQQLIBFHGHOYOX62EOSNE5Z4SR5SFVIRSM7RSWDI2Y,2026-08-31,2.000,401f14c35c15f4959561bef7393b0e4713843a2a77e7eae28b99fbf868a59304,,
GCKNGS…AE5AQZ,,GCKNGS2JE62BAV4P3PHVI4GG5IXPRXKGDPWBAUX5F53E6H5RM3AE5AQZ,2026-08-31,2.000,0677b07d4848290858b950926c23352a3b10f3fcc8d56037e9cc84bd60ba937a,,
GDG27P…VBXCRE,,GDG27PAQ6JW66GYTRGE2D23AXCOL5IGQIHIKDKCECCDK6U2K45VBXCRE,2026-08-31,2.000,c0098693aa5cef76871afd56f4b33fa209b1d9949c605d936ce77921467773a0,,
GAFVD2…XABGJJ,,GAFVD2MGDPCH77KY2NQHSIUV24O46SXM2FKCWX6G4NUGTQUUQWXABGJJ,2026-08-31,2.000,24b7e079edc45a0c8b8da11560e4f5fa9f458f381056cd18e1b6c48f212249d2,,
GDJBSA…MXNLKW,,GDJBSAX22WW5BEUG6V2JSJWE2IMEGULQAWLYRYH3E6JAYA43WTMXNLKW,2026-08-31,2.000,5970f574c5daae184323aa27d22dbd38aeb4eeecce816c4ae1234ccfaec91926,,
GD2VS2…37TIRI,,GD2VS2WERI6X7IAKU6CHD4DCOBIJI5JV3I5PIHIAGL2UU2K4LG37TIRI,2026-08-31,2.000,8213b43c66dd342feb42a1f0942c6f9adf289b4bb8c575d50fbaaf1250682a2a,,
GCRPUJ…5IN3ZH,,GCRPUJENUGZXO3MBLIBYIGAPMQYNIG5CWRHAVBP5Q7UZ6CFGZN5IN3ZH,2026-08-31,2.000,a4f6acf0c5be02cac8b6e5acf72bf9106e5ef568c994f20e4593e5998b20c33e,,
GCSDFE…BPRCZK,,GCSDFE7MSJZOGRQYYRTED7IAABHFQ37S7Y2SQWQKHWSGUSEYULBPRCZK,2026-08-31,2.000,bf6662d1f0df7422642d185b4bcf8eb85ef81f610136253fe4f2a839962fd066,,
GD6KE3…X6ZHM4,,GD6KE3U4DIH6YHMEKTSNFAUTEAA2MOGL3FLSCDYPXPNYGM4IBSX6ZHM4,2026-08-31,2.000,cb727299e4e3631259aabf65528191dd65b47b08bae77ff5dca9ac3e2d3d7e19,,
GBMSMM…KVO4ST,,GBMSMMUWE3T45ZPGMX2G2TAOR3QE5RZQ6WH5GSMVW3SOVCJLHIKVO4ST,2026-08-31,2.000,516f9f724e65d4eb2bd3c5aa123e151cb6baece5f567a5c5a3d606a0a4643dbf,,
GCP3HM…LX65QN,,GCP3HMXQBHXCIXAHLFVEMAA7FJWEVGCQ4ICTHX6HE3BEFIGBD4LX65QN,2026-08-31,2.000,455e31b157b2d8c06a50aaf05cc4062442e6d4acacb537927343a17718982859,,
GB7CM4…O4E4BK,,GB7CM436YYJ4LIMF7Q2BIZ4TZ4SFPBK55S2GZRUCXZSQ6M5EMEO4E4BK,2026-08-31,2.000,43b78c1064771876ed0a72f23eaad0fc17e064ac8d583b2d8511bd7b9061f387,,
GACTJE…RCR7OW,,GACTJEEU2JWQQSEGBSTB6PYWFAPGS3WGNKG4UHF2OIHBEMN6EQRCR7OW,2026-08-31,2.000,f69019b79a2408d167c61989acbd285e110e621e3f2cb1488bac036689e146a5,,
GBH37I…MJS5NH,,GBH37IV5ZS57BUXGKNXM53F32LW3AQ5TJZF4A5ZPMDN3LB6OHSMJS5NH,2026-08-31,2.000,eb2a6f7717897b22c5150be073c9646cc2778a2681bb7528452abc78efe91a22,,
GA6SN3…DAKUEO,,GA6SN3CUEXNHFU7YHM6RZDIKVG4XQYNVWM5KSTYPS3SVP7SMXPDAKUEO,2026-08-31,2.000,544581cf0a7d230a28a47beeb34f12bbcad10dd59889643f9ca8778d9c1db2bc,,
GA2H7H…Q5X64G,,GA2H7HMSY3KAOHG3IF3TKMTSUCBRW4RYK5VSFVLTMXV6FQPJHSQ5X64G,2026-08-31,2.000,12f1521d6718eade1244b92bc6b3467005ac906827dd3e0ec4250cdafccf409c,,
GCTLYW…WJTN3G,,GCTLYWVZCSINWS3LAGMMXYHR7J77D67WNZUQLVY3OTPCRCNHMCWJTN3G,2026-08-31,2.000,4e700e94cd714d64c0edbeb20a5989c321e655f8774a939ca14909f655fc96f2,,
GBGGND…A7MIFL,,GBGGNDZUKLXCB4XXLMGZ4SGKAB3L6TN62DS7L3S3PMV6G74L3KA7MIFL,2026-08-31,2.000,35ff4825321e030ea07dacfd48b282b4b216ab17e59a0b85691fa6aeb9dc44a8,,
